model,nsims,tpb,mem,cupsodatime,pythontime,rtol,atol,mxsteps,t_end,n_steps,deterministic,vol,card,
ras,100,1,1,12.604632,13.25899601,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100,2,1,12.83363,13.45871186,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100,4,1,14.240014,14.86494398,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100,8,1,17.60354,18.22561002,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100,16,1,23.35335,23.976475,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100,32,1,32.471584,33.09150982,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100,64,1,32.440392,33.09295392,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,1000,1,1,86.428406,90.19052601,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,1000,2,1,50.551193,54.40042305,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,1000,4,1,29.495186,34.09204602,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,1000,8,1,18.779066,23.72332287,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,1000,16,1,26.02947,30.14377904,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,1000,32,1,38.356087,42.252985,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,1000,64,1,38.381062,42.27431011,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,10000,1,1,801.356262,843.0917969,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,10000,2,1,419.020477,455.7867942,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,10000,4,1,247.82843,284.2754831,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,10000,8,1,164.718185,202.061774,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,10000,16,1,135.979736,177.6526001,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,10000,32,1,213.664963,249.7425389,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,10000,64,1,231.771561,267.687067,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100000,1,1,7939.840332,8279.455706,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100000,2,1,4133.724609,4503.864351,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100000,4,1,2387.392578,2739.977431,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100000,8,1,1507.412231,1900.18806,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100000,16,1,1226.199585,1602.708797,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100000,32,1,1724.779907,2097.820286,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100000,64,1,2326.470215,2706.559785,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,10,1,2,10.233013,10.56369996,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,10,2,2,10.455194,10.78934383,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,10,4,2,12.850177,13.14603806,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,10,8,2,15.72685,16.065382,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100,1,2,10.072155,10.72567201,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100,2,2,10.508323,11.23087907,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100,4,2,12.057986,12.69565105,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100,8,2,15.470948,16.09799314,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100,16,2,21.024849,21.64850402,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100,32,2,30.448376,31.07136297,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100,64,2,30.421524,31.04085898,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,1000,1,2,69.516777,73.40073586,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,1000,2,2,41.687641,45.55889511,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,1000,4,2,25.215427,29.09284186,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,1000,8,2,16.769285,20.63430095,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,1000,16,2,23.529564,27.36037588,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,1000,32,2,36.092445,39.94306302,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,1000,64,2,36.093536,39.99092698,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,10000,1,2,646.287598,682.830205,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,10000,2,2,345.923645,382.4581909,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,10000,4,2,213.392105,249.781137,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,10000,8,2,147.582245,187.0204608,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,10000,16,2,126.622719,174.0561621,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,10000,32,2,203.468933,251.9354892,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,10000,64,2,218.086746,257.961205,0.000001,0.000001,20000,1500,100,1,0,K20c,
