model,nSims,tpb,mem,endTimeOfSim,rtol,atol,pysbTime,cupSODATime
tyson,10000,1,1,100.0,1e-06,1e-06,28.9562518597,18.408422
tyson,10000,2,1,100.0,1e-06,1e-06,20.1294071674,9.651023
tyson,10000,4,1,100.0,1e-06,1e-06,17.4281449318,5.850425
tyson,10000,8,1,100.0,1e-06,1e-06,14.5331010818,4.101032
tyson,10000,16,1,100.0,1e-06,1e-06,13.9920098782,3.5285
tyson,10000,32,1,100.0,1e-06,1e-06,15.6132521629,5.147043
tyson,10000,64,1,100.0,1e-06,1e-06,14.0306301117,3.453994
tyson,10000,1,2,100.0,1e-06,1e-06,26.6141190529,16.232531
tyson,10000,2,2,100.0,1e-06,1e-06,19.371972084,8.891886
tyson,10000,4,2,100.0,1e-06,1e-06,15.9752328396,5.481715
tyson,10000,8,2,100.0,1e-06,1e-06,14.3768310547,3.899715
tyson,10000,16,2,100.0,1e-06,1e-06,13.9668848515,3.445951
tyson,10000,32,2,100.0,1e-06,1e-06,15.6130530834,5.125623
tyson,10000,64,2,100.0,1e-06,1e-06,13.9396328926,3.434198
tyson,100000,1,0,100.0,1e-06,1e-06,310.891752005,203.530746
tyson,100000,2,0,100.0,1e-06,1e-06,227.479370117,106.210442
tyson,100000,4,0,100.0,1e-06,1e-06,164.790807009,62.350864
tyson,100000,8,0,100.0,1e-06,1e-06,144.728353024,41.722672
tyson,100000,16,0,100.0,1e-06,1e-06,138.144055128,33.079395
tyson,100000,32,0,100.0,1e-06,1e-06,150.980295181,48.011555
tyson,100000,64,0,100.0,1e-06,1e-06,141.580865145,38.218586
tyson,100000,1,1,100.0,1e-06,1e-06,283.162037849,182.695908
tyson,100000,2,1,100.0,1e-06,1e-06,196.872199059,95.229965
tyson,100000,4,1,100.0,1e-06,1e-06,159.910456896,56.297058
tyson,100000,8,1,100.0,1e-06,1e-06,140.210604191,37.526146
tyson,100000,16,1,100.0,1e-06,1e-06,133.38629508,30.29118
tyson,100000,32,1,100.0,1e-06,1e-06,150.763015032,42.010712
tyson,100000,64,1,100.0,1e-06,1e-06,137.148489952,34.590855
tyson,100000,1,2,100.0,1e-06,1e-06,265.336735964,161.35965
tyson,100000,2,2,100.0,1e-06,1e-06,191.141398191,88.132439
tyson,100000,4,2,100.0,1e-06,1e-06,155.186617851,52.640572
tyson,100000,8,2,100.0,1e-06,1e-06,138.448323965,35.680443
tyson,100000,16,2,100.0,1e-06,1e-06,132.245712996,29.672453
tyson,100000,32,2,100.0,1e-06,1e-06,146.824021816,43.892841
tyson,100000,64,2,100.0,1e-06,1e-06,138.482389927,34.362011
model,nsims,tpb,mem,pythontime,rtol,atol,mxsteps,t_end,n_steps,deterministic,vol,card,cupSODATime
tyson,10,1,0,0.830444097519,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.326695
tyson,10,2,0,0.749730825424,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.336778
