model,nsims,tpb,mem,pythontime,cupsodatime,rtol,atol,mxsteps,t_end,n_steps,deterministic,vol,card
ras,100000,64,1,588.783382893,0.0,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100000,1,2,586.857034922,0.0,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100000,2,2,584.787458181,0.0,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100000,4,2,590.684341908,0.0,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100000,8,2,586.779670954,0.0,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100000,16,2,591.421892881,0.0,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100000,32,2,588.273961067,0.0,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100000,64,2,587.323319912,0.0,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
model,nsims,tpb,mem,pythontime,cupsodatime,rtol,atol,mxsteps,t_end,n_steps,deterministic,vol,card
earm,10,1,0,17.4794490337,11.492946,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-mule
earm,10,2,0,12.0416939259,11.581733,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-mule
earm,10,4,0,12.2554969788,11.801942,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-mule
earm,10,8,0,12.7127289772,12.258157,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-mule
earm,10,1,1,9.62350606918,9.168522,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-mule
earm,10,2,1,9.64741110802,9.193491,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-mule
earm,10,4,1,9.83064389229,9.374567,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-mule
earm,10,8,1,10.0927190781,9.63812,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-mule
earm,10,1,2,37.6295559406,0.0,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-mule
earm,10,2,2,37.9816892147,0.0,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-mule
earm,10,4,2,37.9808728695,0.0,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-mule
earm,10,8,2,38.9808440208,0.0,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-mule
earm,100,1,0,15.2866749763,12.321502,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-mule
earm,100,2,0,15.0631370544,12.078074,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-mule
earm,100,4,0,15.2674560547,12.266809,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-mule
earm,100,8,0,15.6717879772,12.683242,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-mule
earm,100,16,0,16.4702911377,13.491543,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-mule
earm,100,32,0,18.3175289631,15.349758,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-mule
earm,100,1,1,12.8410301208,9.846886,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-mule
earm,100,2,1,12.5388801098,9.539214,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-mule
earm,100,4,1,12.6841311455,9.689631,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-mule
earm,100,8,1,12.8600430489,9.894094,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-mule
earm,100,16,1,13.4185929298,10.42877,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-mule
earm,100,32,1,14.5680000782,11.590364,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-mule
